,Localidad,Fecha,Toneladas
524,AMAZONAS,2021-05-22,41300.083888
525,AMAZONAS,2021-05-24,52272.796745
526,AMAZONAS,2021-05-25,32292.224471
527,AMAZONAS,2021-05-26,45161.049252
528,AMAZONAS,2021-05-27,99028.586743
529,AMAZONAS,2021-05-28,129824.140968
530,AMAZONAS,2021-05-29,12865.044818
531,AMAZONAS,2021-05-30,0.877983
532,AMAZONAS,2021-05-31,91287.61307
533,AMAZONAS,2021-06-01,1568.012112
534,AMAZONAS,2021-06-02,61824.35641
535,AMAZONAS,2021-06-03,6664.563155
536,AMAZONAS,2021-06-04,36511.519108
537,AMAZONAS,2021-06-05,44928.415808
538,AMAZONAS,2021-06-07,30244.234614
539,AMAZONAS,2021-06-08,28470.548917
540,AMAZONAS,2021-06-09,19936.333035
541,AMAZONAS,2021-06-10,59752.84478
542,AMAZONAS,2021-06-11,54921.317531
543,AMAZONAS,2021-06-12,66176.698553
544,AMAZONAS,2021-06-13,19200.317245
545,AMAZONAS,2021-06-14,59809.063265
546,AMAZONAS,2021-06-15,37736.552126
547,AMAZONAS,2021-06-16,48688.851778
548,AMAZONAS,2021-06-17,9272.406155
549,AMAZONAS,2021-06-18,57020.697569
550,AMAZONAS,2021-06-19,42032.571227
551,AMAZONAS,2021-06-21,22136.666013
552,AMAZONAS,2021-06-22,68688.521548
553,AMAZONAS,2021-06-23,14280.885143
554,AMAZONAS,2021-06-24,55161.084528
555,AMAZONAS,2021-06-25,35296.232306
556,AMAZONAS,2021-06-26,1440.05366
557,AMAZONAS,2021-06-28,21120.145922
558,ANCASH,2019-09-02,278657.946454
559,ANCASH,2019-09-03,283824.676883
560,ANCASH,2019-09-04,167971.913244
561,ANCASH,2019-09-05,347374.733431
562,ANCASH,2019-09-06,328662.235975
563,ANCASH,2019-09-07,552783.382842
564,ANCASH,2019-09-09,326427.420381
565,ANCASH,2019-09-10,359497.384758
566,ANCASH,2019-09-11,433660.831612
567,ANCASH,2019-09-12,342140.31272
568,ANCASH,2019-09-13,269328.243716
569,ANCASH,2019-09-14,423237.77397
570,ANCASH,2019-09-16,320892.23986
571,ANCASH,2019-09-17,226735.123303
572,ANCASH,2019-09-18,206906.07165
573,ANCASH,2019-09-19,202399.936928
574,ANCASH,2019-09-20,383964.259701
575,ANCASH,2019-09-21,243147.316468
576,ANCASH,2019-09-23,393842.888739
577,ANCASH,2019-09-24,264837.804356
578,ANCASH,2019-09-25,309948.977596
579,ANCASH,2019-09-26,419142.853425
580,ANCASH,2019-09-27,321267.986491
581,ANCASH,2019-09-28,367705.167809
582,ANCASH,2019-09-30,269116.016721
583,ANCASH,2019-10-01,191887.912153
584,ANCASH,2019-10-02,229138.166969
585,ANCASH,2019-10-03,186867.439038
586,ANCASH,2019-10-04,452675.254954
587,ANCASH,2019-10-05,461596.370396
588,ANCASH,2019-10-07,370802.622084
589,ANCASH,2019-10-08,151337.75241
590,ANCASH,2019-10-09,324099.07669
591,ANCASH,2019-10-10,303601.598915
592,ANCASH,2019-10-11,332464.865193
593,ANCASH,2019-10-12,461370.086375
594,ANCASH,2019-10-14,350878.414546
595,ANCASH,2019-10-15,275308.553225
596,ANCASH,2019-10-16,339795.551054
597,ANCASH,2019-10-17,245022.12985
598,ANCASH,2019-10-18,224555.88121
599,ANCASH,2019-10-19,225848.571551
600,ANCASH,2019-10-21,286928.68973
601,ANCASH,2019-10-22,313521.960451
602,ANCASH,2019-10-23,232945.399605
603,ANCASH,2019-10-24,273093.540219
604,ANCASH,2019-10-25,207607.187176
605,ANCASH,2019-10-26,567542.13248
606,ANCASH,2019-10-28,358562.194511
607,ANCASH,2019-10-29,237731.179699
608,ANCASH,2019-10-30,247649.631506
609,ANCASH,2019-10-31,367852.113662
610,ANCASH,2019-11-02,254252.843095
