,Marca,Fecha,Toneladas
255,006 Nova,2021-04-26,24.021729
256,003 Noble,2020-04-15,65.498543
257,008 Babysec,2020-07-01,5175160.5
258,037 Cotidian,2019-12-09,128199.0752
259,003 Noble,2020-04-09,3.118348
260,006 Nova,2021-01-22,31.334964
261,001 Elite,2020-05-16,89.341004
262,037 Cotidian,2020-06-12,166398.6016
263,006 Nova,2020-06-04,27.485491
264,036 Ladysoft,2020-07-25,5354292.7568
265,001 Elite,2019-11-12,116.944642
266,003 Noble,2021-06-04,52.046187
267,012 Higienol,2020-03-29,0.157807
268,012 Higienol,2020-10-01,8.221578
269,006 Nova,2019-11-28,11.238662
270,006 Nova,2019-12-04,12.704971
271,036 Ladysoft,2020-01-21,6694423.656
272,008 Babysec,2019-12-25,120110.0224
273,037 Cotidian,2019-12-12,149458.7232
274,036 Ladysoft,2020-07-22,5470168.0144
275,037 Cotidian,2019-12-06,130196.816
276,038 Ok Pet,2020-02-12,3690.018
277,037 Cotidian,2021-01-30,301627.6352
278,036 Ladysoft,2020-07-28,1063167.128
279,001 Elite,2019-11-09,100.288979
280,036 Ladysoft,2020-01-24,5991459.9424
281,012 Higienol,2020-03-26,11.741236
282,001 Elite,2019-11-15,131.003438
283,006 Nova,2019-12-01,0.365304
284,008 Babysec,2019-12-28,3981732.4818
285,012 Higienol,2020-09-28,10.897819
286,038 Ok Pet,2021-03-30,90.018
287,012 Higienol,2021-05-21,7.738205
288,003 Noble,2020-10-15,61.269022
289,038 Ok Pet,2021-04-05,7200.0
290,036 Ladysoft,2020-01-30,7031185.2688
291,001 Elite,2020-11-12,32078.417302
292,001 Elite,2020-05-10,0.775479
293,012 Higienol,2020-04-01,8.57777
294,006 Nova,2021-01-28,62.213653
295,003 Noble,2019-10-12,47.108084
296,012 Higienol,2019-09-28,12.828847
297,008 Babysec,2020-06-25,4388972.4526
298,006 Nova,2020-07-26,1.419381
299,006 Nova,2021-01-31,4.873422
300,036 Ladysoft,2021-03-20,5886906.8944
301,037 Cotidian,2020-06-06,178234.1856
302,003 Noble,2019-10-15,40.811174
303,008 Babysec,2020-12-28,5247539.3658
304,036 Ladysoft,2020-01-27,6704068.5904
305,012 Higienol,2021-05-24,8.921331
306,037 Cotidian,2020-12-09,163226.7424
307,001 Elite,2020-11-09,60089.559921
308,038 Ok Pet,2021-04-08,71830.08
309,003 Noble,2021-06-10,56.673742
310,003 Noble,2020-12-06,0.976401
311,012 Higienol,2019-10-01,12.331436
312,001 Elite,2020-11-15,1.998064
313,038 Ok Pet,2020-10-01,21031.938
314,008 Babysec,2019-11-03,100868.2424
315,001 Elite,2020-05-13,131.855283
316,006 Nova,2021-01-25,41.269646
317,008 Babysec,2020-06-22,4857044.633
318,012 Higienol,2020-04-04,8.420831
319,003 Noble,2020-04-18,63.232047
320,037 Cotidian,2020-06-09,182518.0224
321,036 Ladysoft,2021-03-23,6423834.568
322,038 Ok Pet,2020-10-07,55697.868
323,012 Higienol,2020-11-22,0.079944
324,037 Cotidian,2020-06-03,222322.0704
325,036 Ladysoft,2021-03-17,5060932.232
326,008 Babysec,2020-12-25,88377.6634
327,003 Noble,2019-10-18,51.906498
328,003 Noble,2021-06-07,50.550698
329,006 Nova,2019-12-07,13.537726
330,037 Cotidian,2020-12-06,3712.192
331,012 Higienol,2021-05-27,9.645954
332,003 Noble,2021-06-13,0.633562
333,006 Nova,2019-10-04,12.310746
334,037 Cotidian,2020-08-09,64.0
335,001 Elite,2020-07-16,97.565178
336,036 Ladysoft,2020-09-24,6523999.6144
337,003 Noble,2020-12-09,58.032439
338,012 Higienol,2019-10-04,15.606503
339,001 Elite,2020-07-10,81.40265
340,036 Ladysoft,2020-09-18,6745511.4
341,003 Noble,2020-12-15,65.095891
342,006 Nova,2021-05-30,0.970774
343,038 Ok Pet,2020-04-04,2399.04
344,008 Babysec,2020-08-28,4866591.8762
345,038 Ok Pet,2020-10-10,117107.388
346,003 Noble,2019-10-21,51.993101
347,012 Higienol,2020-11-25,15.393082
348,037 Cotidian,2020-02-05,106795.4752
349,006 Nova,2020-11-25,25.647021
350,008 Babysec,2020-02-24,3386803.8358
351,012 Higienol,2021-05-30,0.381783
352,037 Cotidian,2020-08-06,159649.2544
353,012 Higienol,2020-05-26,14.976375
354,001 Elite,2020-01-09,109.483872
355,037 Cotidian,2020-02-02,880.0
356,036 Ladysoft,2020-09-21,7219960.6528
357,012 Higienol,2020-11-28,12.856864
358,008 Babysec,2021-02-27,10781194.1258
359,003 Noble,2020-12-12,58.938837
360,001 Elite,2020-07-13,86.327892
