,Localidad,Fecha,Cantidad
299,AMAZONAS,2020-09-04,296.13
300,AMAZONAS,2020-09-05,371.6
301,AMAZONAS,2020-09-07,1060.0
302,AMAZONAS,2020-09-08,2543.93
303,AMAZONAS,2020-09-09,1655.87
304,AMAZONAS,2020-09-10,2058.95
305,AMAZONAS,2020-09-11,2359.63
306,AMAZONAS,2020-09-12,1099.63
307,AMAZONAS,2020-09-14,3016.5
308,AMAZONAS,2020-09-15,2325.5
309,AMAZONAS,2020-09-16,1359.28
310,AMAZONAS,2020-09-17,1112.25
311,AMAZONAS,2020-09-18,1398.8
312,AMAZONAS,2020-09-19,1152.11
313,AMAZONAS,2020-09-20,1253.0
314,AMAZONAS,2020-09-21,1315.15
315,AMAZONAS,2020-09-22,1013.3
316,AMAZONAS,2020-09-23,1190.0
317,AMAZONAS,2020-09-24,1167.6
318,AMAZONAS,2020-09-25,2054.25
319,AMAZONAS,2020-09-26,1083.4
320,AMAZONAS,2020-09-28,1478.46
321,AMAZONAS,2020-09-29,1630.78
322,AMAZONAS,2020-09-30,2464.6
323,AMAZONAS,2020-10-01,1377.0
324,AMAZONAS,2020-10-02,562.5
325,AMAZONAS,2020-10-03,848.88
326,AMAZONAS,2020-10-05,1524.46
327,AMAZONAS,2020-10-06,968.45
328,AMAZONAS,2020-10-07,1043.08
329,AMAZONAS,2020-10-08,658.5
330,AMAZONAS,2020-10-09,833.58
331,AMAZONAS,2020-10-10,438.0
332,AMAZONAS,2020-10-11,156.0
333,AMAZONAS,2020-10-12,772.65
334,AMAZONAS,2020-10-13,1664.6
335,AMAZONAS,2020-10-14,892.6
336,AMAZONAS,2020-10-15,703.95
337,AMAZONAS,2020-10-16,63.15
338,AMAZONAS,2020-10-17,1861.5
339,AMAZONAS,2020-10-19,1661.96
340,AMAZONAS,2020-10-20,1331.38
341,AMAZONAS,2020-10-21,395.25
342,AMAZONAS,2020-10-22,389.33
343,AMAZONAS,2020-10-23,1267.96
344,AMAZONAS,2020-10-24,164.75
345,AMAZONAS,2020-10-26,209.92
346,AMAZONAS,2020-10-27,1965.1
347,AMAZONAS,2020-10-28,1284.0
348,AMAZONAS,2020-10-29,972.36
349,AMAZONAS,2020-10-30,1178.65
350,AMAZONAS,2020-10-31,2440.86
351,AMAZONAS,2020-11-01,2.0
